retailer_id,retailer_name,channel_type,revenue,rev_share,trade_rate,gross_margin,structural_trade_dollars,op_deductions,op_ded_rate,promo_billback,all_in_trade,all_in_rate,net_net_margin,total_deductions,ded_share
costco,Costco,retailer,2239549.07,0.087506,0.173858,0.408173,389363.02,128530.77,0.057391,9828.66,527722.45,0.235638,0.172536,138359.43,0.112903
dtc,DTC,dtc,851241.16,0.033261,0.0,0.624839,0.0,0,0.0,0,0.0,0.0,0.624839,0,0.0
green_basket_market,Green Basket Market,retailer,507427.01,0.019827,0.09926,0.464888,50367.21,30355.98,0.059823,6208.9,86932.09,0.171319,0.293569,36564.88,0.029837
harbor_fresh,Harbor Fresh,retailer,423515.23,0.016548,0.09926,0.464888,42038.12,25413.61,0.060006,351.41,67803.14,0.160096,0.304792,25765.02,0.021025
kehe,KeHE,distributor,0,0.0,0,0.464888,0,105408.26,0,46234.02,151642.28,0,0,151642.28,0.123742
mountain_pantry_co,Mountain Pantry Co,retailer,436938.58,0.017073,0.09926,0.464888,43370.52,10311.01,0.023598,438.54,54120.07,0.123862,0.341026,10749.55,0.008772
prairie_provisions,Prairie Provisions,retailer,445557.53,0.017409,0.09926,0.464888,44226.04,19632.03,0.044062,1170.45,65028.52,0.145949,0.318939,20802.48,0.016975
southside_grocers,Southside Grocers,retailer,488833.07,0.0191,0.09926,0.464888,48521.57,22983.01,0.047016,1188.05,72692.63,0.148706,0.316182,24171.06,0.019724
unfi,UNFI,distributor,4485742.51,0.175272,0.150699,0.361005,675996.41,143787.26,0.032054,58711.91,878495.58,0.195842,0.165163,202499.17,0.165242
walmart,Walmart,retailer,13001137.79,0.507995,0.214926,0.389858,2794276.76,442524.83,0.034037,79289.08,3316090.67,0.255062,0.134796,521813.91,0.425807
whole_foods,Whole Foods,retailer,2713109.97,0.10601,0.127858,0.437031,346892.21,83508.14,0.030779,9595.97,439996.32,0.162174,0.274856,93104.11,0.075974
